age,age_onset,birthplace,filename,,male,61,usa,FALSE,english,578,
31,12,"addis ababa, ethiopia",amharic14,,female,72,usa,FALSE,english,578,
23,6,"addis ababa, ethiopia",amharic15,,male,527,usa,FALSE,english,578,
36,11,"werder, ethiopia",amharic16,,male,528,usa,FALSE,english,578,
21,9,"addis ababa, ethiopia",amharic17,,male,529,australia,FALSE,english,578,
20,2,"addis ababa, ethiopia",amharic18,,male,533,australia,FALSE,english,578,
19,10,"tefki, ethiopia",amharic19,,male,534,canada,FALSE,english,578,
23,7,"arba minch, ethiopia",amharic2,,male,535,usa,FALSE,english,578,
52,24,"addis ababa, ethiopia",amharic20,,male,536,ireland,FALSE,english,578,
27,8,"addis ababa, ethiopia",amharic3,,male,538,usa,FALSE,english,578,
20,7,"addis ababa, ethiopia",amharic4,,female,540,usa,FALSE,english,578,
31,7,"addis ababa, ethiopia",amharic5,,male,541,canada,FALSE,english,578,
31,4,"addis ababa, ethiopia",amharic6,,male,73,usa,FALSE,english,578,
38,13,"addis ababa, ethiopia",amharic7,,female,542,usa,FALSE,english,578,
30,12,"addis ababa, ethiopia",amharic8,,female,546,usa,FALSE,english,578,
40,12,"addis ababa, ethiopia",amharic9,,female,548,usa,FALSE,english,578,
38,12,"riyadh, saudi arabia",arabic1,,male,547,usa,FALSE,english,578,
26,5,"cairo, egypt",arabic10,,male,549,uk,FALSE,english,578,
40,10,"beirut, lebanon",arabic100,,female,550,usa,FALSE,english,578,
21,10,"doha, qatar",arabic101,,male,551,usa,FALSE,english,578,
22,3,"jiddah, saudi arabia",arabic102,,male,552,usa,FALSE,english,578,
30,14,"monastir, tunisia",arabic11,,male,554,usa,FALSE,english,578,
32,11,"baghdad, iraq",arabic12,,male,555,usa,FALSE,english,578,
25,15,"zabbougha, lebanon",arabic13,,male,74,usa,FALSE,english,578,
47,11,"amman, jordan",arabic14,,female,556,usa,FALSE,english,578,
40,33,"qayrawan, tunisia",arabic15,,male,563,usa,FALSE,english,578,
22,16,"meknes, morocco",arabic16,,male,564,jamaica,FALSE,english,578,
35,15,"settat, morocco",arabic17,,male,567,usa,FALSE,english,578,
18,6,"kuwait city, kuwait",arabic18,,female,568,malaysia,FALSE,english,578,
43,18,"khouribga, morocco",arabic19,,male,572,usa,FALSE,english,578,
18,2.5,"damascus, syria",arabic2,,female,573,usa,FALSE,english,578,
36,12,"chtaura, beqa valley, lebanon",arabic20,,female,574,usa,FALSE,english,578,
46,30,"beirut, lebanon",arabic21,,male,583,usa,FALSE,english,578,
23,10,"abu dhabi, united arab emirates",arabic22,,male,584,usa,FALSE,english,578,
42,13,"al mahalla, egypt",arabic23,,female,75,usa,FALSE,english,578,
40,7,"cairo, egypt",arabic24,,male,585,usa,FALSE,english,578,
38,5,"ramun, israel (occupied territory)",arabic25,,male,586,usa,FALSE,english,578,
43,14,"amman, jordan",arabic26,,male,590,usa,FALSE,english,578,
70,10,"jerusalem, israel",arabic27,,female,595,guyana,FALSE,english,578,
30,12,"al-ayn, united arab emirates",arabic28,,female,597,usa,FALSE,english,578,
19,17,"doha, qatar",arabic29,,male,604,uk,FALSE,english,578,
24,9,"doha, qatar",arabic3,,female,605,usa,FALSE,english,578,
19,8,"riyadh, saudi arabia",arabic30,,female,606,usa,FALSE,english,578,
47,12,"baghdad, iraq",arabic31,,male,611,uk,FALSE,english,578,
42,12,"baghdad, iraq",arabic32,,male,617,usa,FALSE,english,578,
28,11,"baghdad, iraq",arabic33,,male,76,usa,FALSE,english,578,
34,6,"kuwait city, kuwait",arabic34,,male,618,usa,FALSE,english,578,
56,16,"jiddah, saudi arabia",arabic35,,male,631,usa,FALSE,english,578,
36,6,"jiddah, saudi arabia",arabic36,,female,636,usa,FALSE,english,578,
18,16,"jiddah, saudi arabia",arabic37,,male,637,usa,FALSE,english,578,
19,9,"shady grove, maryland, usa",arabic38,,male,638,uk,FALSE,english,578,
22,5,"jiddah, saudi arabia",arabic39,,female,639,usa,FALSE,english,578,
19,6,"sharjah, united arab emirates",arabic4,,female,654,fiji,FALSE,english,578,
19,13,"jiddah, saudi arabia",arabic40,,male,662,usa,FALSE,english,578,
25,7,"riyadh, saudi arabia",arabic41,,male,663,usa,FALSE,english,578,
21,13,"jiddah, saudi arabia",arabic42,,male,664,usa,FALSE,english,578,
29,8,"beirut, lebanon",arabic43,,female,77,uk,FALSE,english,578,
29,7,"jiddah, saudi arabia",arabic44,,female,78,usa,FALSE,english,578,
32,12,"fort collins, colorado, usa",arabic45,,female,667,usa,FALSE,english,578,
28,13,"jiddah, saudi arabia",arabic46,,female,668,usa,FALSE,english,578,
39,16,"jiddah, saudi arabia",arabic47,,male,673,usa,FALSE,english,578,
29,12,"mecca, saudi arabia",arabic48,,female,674,usa,FALSE,english,578,
26,8,"medina, saudi arabia",arabic49,,male,678,usa,FALSE,english,578,
19,15,"casablanca, morocco",arabic5,,female,679,usa,FALSE,english,578,
36,22,"jiddah, saudi arabia",arabic50,,female,680,uk,FALSE,english,578,
23,12,"jiddah, saudi arabia",arabic51,,female,684,usa,FALSE,english,578,
21,9,"jiddah, saudi arabia",arabic52,,male,695,usa,FALSE,english,578,
36,17,"rabat, morocco",arabic53,,female,702,antigua and barbuda,FALSE,english,578,
22,7,"baghdad, iraq",arabic54,,female,79,usa,FALSE,english,578,
70,33,"beirut, lebanon",arabic55,,female,705,canada,FALSE,english,578,
43,12,"ain defla, algeria",arabic56,,male,720,usa,FALSE,english,578,
28,17,"beirut, lebanon",arabic57,,male,729,usa,FALSE,english,578,
34,9,"baghdad, iraq",arabic58,,male,734,usa,FALSE,english,578,
55,9,"irbid, jordan",arabic59,,male,737,usa,FALSE,english,578,
21,14.5,"sanaa, yemen",arabic6,,male,738,uk,FALSE,english,578,
60,14,"cairo, egypt",arabic60,,female,739,usa,FALSE,english,578,
20,7,"manama, bahrain",arabic61,,male,740,uk,FALSE,english,578,
19,18,"ad dammam, saudi arabia",arabic62,,female,747,usa,FALSE,english,578,
28,10,"bani walid, libya",arabic63,,female,748,usa,FALSE,english,578,
23,6,"riyadh, saudi arabia",arabic64,,female,80,panama,FALSE,english,578,
32,10,"samail, oman",arabic65,,female,749,usa,FALSE,english,578,
50,14,"medina, saudi arabia",arabic66,,male,754,uk,FALSE,english,578,
43,22,"nasriah, iraq",arabic67,,female,764,usa,FALSE,english,578,
20,6,"london, uk",arabic68,,male,767,usa,FALSE,english,578,
55,15,"kerma, sudan",arabic69,,male,768,barbados,FALSE,english,578,
18,15,"casablanca, morocco",arabic7,,male,771,uk,FALSE,english,578,
47,16,"casablanca, morocco",arabic70,,male,772,uk,FALSE,english,578,
29,21,"kuwait city, kuwait",arabic71,,female,773,uk,FALSE,english,578,
20,11,"baghdad, iraq",arabic72,,female,774,uk,FALSE,english,578,
47,7,"nazareth, israel",arabic73,,male,775,usa,FALSE,english,578,
18,4,"alexandria, egypt",arabic74,,male,81,usa,FALSE,english,578,
26,2,"riyadh, saudi arabia",arabic75,,male,776,australia,FALSE,english,578,
25,4,"jiddah, saudi arabia",arabic76,,male,791,usa,FALSE,english,578,
18,4,"ad dammam, saudi arabia",arabic77,,female,798,usa,FALSE,english,578,
19,3,"washington, district of columbia, usa",arabic78,,female,793,canada,FALSE,english,578,
24,13,"medina, saudi arabia",arabic79,,male,794,usa,FALSE,english,578,
21,17,"casablanca, morocco",arabic8,,female,795,usa,FALSE,english,578,
25,11,"najran, saudi arabia",arabic80,,male,799,usa,FALSE,english,578,
22,17,"riyadh, saudi arabia",arabic81,,female,801,usa,FALSE,english,578,
42,12,"damascus, syria",arabic82,,female,802,canada,FALSE,english,578,
22,21,"riyadh, saudi arabia",arabic83,,male,803,panama,FALSE,english,578,
26,12,"medina, saudi arabia",arabic84,,male,82,uk,FALSE,english,578,
24,14,"ad dammam, saudi arabia",arabic85,,male,815,canada,FALSE,english,578,
28,3,"cairo, egypt",arabic86,,female,817,new zealand,FALSE,english,578,
49,10,"kuwait city, kuwait",arabic87,,female,818,usa,FALSE,english,578,
19,4,"beirut, lebanon",arabic88,,male,820,canada,FALSE,english,578,
35,19,"baghdad, iraq",arabic89,,male,821,usa,FALSE,english,578,
28,4,"jerusalem, israel",arabic9,,male,824,usa,FALSE,english,578,
23,12,"tripoli, libya",arabic90,,male,825,usa,FALSE,english,578,
57,12,"riyadh, saudi arabia",arabic91,,male,835,canada,FALSE,english,578,
36,10,"baghdad, iraq",arabic92,,female,840,usa,FALSE,english,578,
27,10,"baghdad, iraq",arabic93,,female,850,usa,FALSE,english,578,
24,9,"abu dhabi, united arab emirates",arabic94,,male,83,usa,FALSE,english,578,
31,10,"kuwait city, kuwait",arabic95,,male,852,uk,FALSE,english,578,
21,7,"riyadh, saudi arabia",arabic96,,male,855,usa,FALSE,english,578,
19,4,"sharjah, united arab emirates",arabic97,,female,856,usa,FALSE,english,578,
19,4,"ras al khaimah, united arab emirates",arabic98,,male,857,ireland,FALSE,english,578,
25,16,"ad dammam, saudi arabia",arabic99,,male,858,usa,FALSE,english,578,
19,9,"yerevan, armenia",armenian1,,female,859,new zealand,FALSE,english,578,
44,7,"tehran, iran",armenian2,,male,861,usa,FALSE,english,578,
54,12,"yerevan, armenia",armenian3,,male,863,usa,FALSE,english,578,
27,12,"tbilisi, republic of georgia",armenian4,,male,869,ireland,FALSE,english,578,
21,15,"yerevan, armenia",armenian5,,male,870,singapore,FALSE,english,578,
23,11,"armavir, russia",armenian6,,male,84,usa,FALSE,english,578,
31,10,"tehran, iran",armenian7,,female,871,usa,FALSE,english,578,
50,35,"yerevan, armenia",armenian8,,female,875,usa,FALSE,english,578,
42,1,"accra, ghana",ashanti1,,male,876,usa,FALSE,english,578,
24,14,"naxcivan, azerbaijan",azerbaijani1,,male,884,usa,FALSE,english,578,
42,40,"baku, azerbaijan",azerbaijani2,,male,889,usa,FALSE,english,578,
31,16,"baku, azerbaijan",azerbaijani3,,male,890,usa,FALSE,english,578,
40,30,"douala, cameroon",bafang1,,male,899,usa,FALSE,english,578,
38,6,"douala, cameroon",bafang2,,male,900,uk,FALSE,english,578,
31,29,"conakry, guinea",baga1,,female,901,uk,FALSE,english,578,
43,40,"jianchuan, yunnan, china",bai1,,female,902,australia,FALSE,english,578,
15.5,12,"bamako, mali",bambara1,,female,85,usa,FALSE,english,578,
26,18,"bamako, mali",bambara2,,male,903,south africa,FALSE,english,578,
22,12,"bamako, mali",bambara3,,female,904,south africa,FALSE,english,578,
26,14,"goudiri, senegal",bambara4,,male,905,usa,FALSE,english,578,
23,21,"segou, mali",bambara5,,male,907,usa,FALSE,english,578,
31,15,"foumban, cameroon",bamun1,,female,909,australia,FALSE,english,578,
34,6,"khartoum, sudan",bari1,,female,912,usa,FALSE,english,578,
36,7,"khartoum, sudan",bari2,,female,918,usa,FALSE,english,578,
69,34,"vizcaya, spain",basque1,,female,919,usa,FALSE,english,578,
50,19,"guernica, spain",basque2,,female,921,usa,FALSE,english,578,
54,10,"erding, bavaria, germany",bavarian1,,female,922,singapore,FALSE,english,578,
52,10,"berchtesgaden, germany",bavarian2,,male,86,canada,FALSE,english,578,
25,11,"chamiancy, vilejka, belarus",belarusan1,,female,935,isle of man,FALSE,english,578,
43,12,"minsk, belarus",belarusan2,,male,937,usa,FALSE,english,578,
18,6,"gomel, belarus",belarusan3,,male,939,usa,FALSE,english,578,
23,16,"dhaka, bangladesh",bengali1,,male,951,usa,FALSE,english,578,
18,3,"dhaka, bangladesh",bengali10,,male,952,usa,FALSE,english,578,
34,3.5,"durgapur, west bengal, india",bengali11,,male,961,australia,FALSE,english,578,
25,4,"sylhet, bangladesh",bengali12,,female,977,usa,FALSE,english,578,
33,10,"dhaka, bangladesh",bengali13,,female,981,singapore,FALSE,english,578,
26,4,"kolkata, india",bengali14,,female,982,usa,FALSE,english,578,
46,8,"dhaka, bangladesh",bengali15,,female,983,usa,FALSE,english,578,
24,6,"dhaka, bangladesh",bengali16,,female,87,canada,FALSE,english,578,
19,6,"sylhet, bangladesh",bengali17,,male,986,usa,FALSE,english,578,
25,2,"lusaka, zambia",bengali2,,male,1026,belize,FALSE,english,578,
19,5,"dhaka, bangladesh",bengali3,,male,1051,usa,FALSE,english,578,
24,6,"chittagong, bangladesh",bengali4,,female,1052,usa,FALSE,english,578,
40,5,"dhaka, bangladesh",bengali5,,female,1060,australia,FALSE,english,578,
29,4,"jamshedpur, jharkhand, india",bengali6,,male,1067,canada,FALSE,english,578,
49,6,"mymensingh, bangladesh",bengali7,,female,1070,canada,FALSE,english,578,
54,5,"noakhali, bangladesh",bengali8,,male,1071,usa,FALSE,english,578,
61,12,"kolkata, india",bengali9,,male,1072,australia,FALSE,english,578,
39,37,"doboj, bosnia and herzegovina",bosnian1,,male,1075,canada,FALSE,english,578,
21,10,"sarajevo, bosnia and herzegovina",bosnian2,,female,88,australia,FALSE,english,578,
25,12,"sarajevo, bosnia and herzegovina",bosnian3,,female,89,canada,FALSE,english,578,
20,11,"travnik, bosnia and herzegovina",bosnian4,,male,1076,ireland,FALSE,english,578,
25,6,"travnik, bosnia and herzegovina",bosnian5,,male,1078,canada,FALSE,english,578,
29,22,"zenica, bosnia and herzegovina",bosnian6,,male,1085,australia,FALSE,english,578,
24,10,"gornji vakuf, bosnia and herzegovina",bosnian7,,female,1086,usa,FALSE,english,578,
24,15,"sarajevo, bosnia and herzegovina",bosnian8,,female,1088,ireland,FALSE,english,578,
47,5,"sarajevo, bosnia and herzegovina",bosnian9,,female,1094,bolivia,FALSE,english,578,
25,16,"plovdiv, bulgaria",bulgarian1,,female,1093,uk,FALSE,english,578,
21,15,"dobrich, bulgaria",bulgarian10,,male,1100,usa,FALSE,english,578,
24,16,"dobrich, bulgaria",bulgarian11,,male,1101,uk,FALSE,english,578,
30,9,"sofia, bulgaria",bulgarian12,,female,1105,new zealand,FALSE,english,578,
20,9,"chirpan, bulgaria",bulgarian13,,female,90,trinidad,FALSE,english,578,
46,30,"sofia, bulgaria",bulgarian14,,female,1108,uk,FALSE,english,578,
22,10,"varna, bulgaria",bulgarian15,,female,1110,usa,FALSE,english,578,
21,6,"kyustendil, bulgaria",bulgarian16,,female,1113,canada,FALSE,english,578,
31,9,"sofia, bulgaria",bulgarian17,,male,1119,usa,FALSE,english,578,
20,10,"razlog, bulgaria",bulgarian18,,female,1120,usa,FALSE,english,578,
53,42,"sofia, bulgaria",bulgarian2,,male,1121,usa,FALSE,english,578,
27,10,"sofia, bulgaria",bulgarian3,,male,1122,usa,FALSE,english,578,
22,20,"plovdiv, bulgaria",bulgarian4,,male,1132,usa,FALSE,english,578,
23,14,"sofia, bulgaria",bulgarian5,,male,1137,canada,FALSE,english,578,
27,11,"ruse, bulgaria",bulgarian6,,male,1138,uk,FALSE,english,578,
18,13,"stara zagora, bulgaria",bulgarian7,,female,91,usa,FALSE,english,578,
31,8,"sofia, bulgaria",bulgarian8,,female,1162,liberia,FALSE,english,578,
31,10,"ruse, bulgaria",bulgarian9,,male,1163,usa,FALSE,english,578,
35,11,"yangon, myanmar",burmese1,,male,1172,canada,FALSE,english,578,
29,7,"yangon, myanmar",burmese2,,female,1173,canada,FALSE,english,578,
22,12,"hong kong, china",cantonese1,,male,1174,canada,FALSE,english,578,
25,3,"xiamen, fujian, china",cantonese10,,male,1176,usa,FALSE,english,578,
22,3,"hong kong, china",cantonese11,,male,1188,usa,FALSE,english,578,
20,4,"macau, china",cantonese12,,male,1205,usa,FALSE,english,578,
21,3,"hong kong, china",cantonese13,,female,1206,usa,FALSE,english,578,
19,3,"hong kong, china",cantonese14,,female,1207,usa,FALSE,english,578,
31,12,"qingyuan, guangdong, china",cantonese15,,male,92,usa,FALSE,english,578,
29,3,"hong kong, china",cantonese16,,female,1208,usa,FALSE,english,578,
26,3,"hong kong, china",cantonese17,,female,1209,australia,FALSE,english,578,
19,3,"hong kong, china",cantonese18,,female,1212,usa,FALSE,english,578,
28,7,"hong kong, china",cantonese19,,female,1214,usa,FALSE,english,578,
20,13,"hong kong, china",cantonese2,,female,1215,uk,FALSE,english,578,
18,3,"hong kong, china",cantonese20,,male,1216,usa,FALSE,english,578,
18,4,"hong kong, china",cantonese21,,female,1217,usa,FALSE,english,578,
30,3,"hong kong, china",cantonese22,,female,1218,usa,FALSE,english,578,
33,6,"hong kong, china",cantonese23,,female,1219,australia,FALSE,english,578,
22,6,"hong kong, china",cantonese3,,male,1220,usa,FALSE,english,578,
29,13,"fuzhou, fujian, china",cantonese4,,female,93,usa,FALSE,english,578,
18,14,"hong kong, china",cantonese5,,male,1222,usa,FALSE,english,578,
25,5,"hong kong, china",cantonese6,,female,1224,usa,FALSE,english,578,
31,4,"hong kong, china",cantonese7,,male,1225,usa,FALSE,english,578,
23,2,"hong kong, china",cantonese8,,male,1226,usa,FALSE,english,578,
22,7,"hong kong, china",cantonese9,,female,1232,usa,FALSE,english,578,
32,6,"saipan, saipan, northern mariana islands",carolinian1,,male,1233,usa,FALSE,english,578,
39,13,"tarragona, spain",catalan1,,male,1235,usa,FALSE,english,578,
24,21,"mataro, catalonia, spain",catalan2,,female,1236,usa,FALSE,english,578,
51,11,"santiago, chile",catalan3,,female,1237,philippines,FALSE,english,578,
21,11,"barcelona, spain",catalan4,,female,1239,usa,FALSE,english,578,
21,1,"cebu, philippines",cebuano1,,female,94,usa,FALSE,english,578,
41,5,"baghdad, iraq",chaldean1,,female,1241,uk,FALSE,english,578,
62,11,"baghdad, iraq",chaldean2,,male,1242,usa,FALSE,english,578,
18,1,"saipan, saipan, northern mariana islands",chamorro1,,male,1243,singapore,FALSE,english,578,
42,7,"mulanje, malawi",chichewa1,,male,1246,canada,FALSE,english,578,
39,12,"chittagong, bangladesh",chittagonian1,,female,1250,new zealand,FALSE,english,578,
81,16,"unije, croatia",croatian1,,male,1256,usa,FALSE,english,578,
35,10,"mostar, bosnia and herzegovina",croatian2,,female,1257,canada,FALSE,english,578,
44,10,"split, croatia",croatian3,,male,1258,usa,FALSE,english,578,
38,11,"rijeka, croatia",croatian4,,male,1259,canada,FALSE,english,578,
26,11,"tomislavgrad, bosnia and herzegovina",croatian5,,male,1276,canada,FALSE,english,578,
23,14,"doboj, bosnia and herzegovina",croatian6,,male,95,usa,FALSE,english,578,
21,7,"rijeka, croatia",croatian7,,female,1277,usa,FALSE,english,578,
39,22,"gospic, croatia",croatian8,,female,1280,usa,FALSE,english,578,
27,10.5,"prague, czech republic",czech1,,male,1281,ireland,FALSE,english,578,
60,45,"velky osek, czech republic",czech2,,male,1287,uk,FALSE,english,578,
35,14,"nachod, czech republic",czech3,,female,1288,australia,FALSE,english,578,
57,15,"prague, czech republic",czech4,,male,1292,uk,FALSE,english,578,
26,16,"klando, czech republic",czech5,,female,1293,uk,FALSE,english,578,
20,7,"ostrava, czech republic",czech6,,female,1294,uk,FALSE,english,578,
22,11,"ostrava, czech republic",czech7,,male,1295,uk,FALSE,english,578,
21,7,"pizen, czech republic",czech8,,male,1297,usa,FALSE,english,578,
38,23,"prague, czech republic",czech9,,female,96,india,FALSE,english,578,
45,11,"horsens, denmark",danish1,,male,1302,india,FALSE,english,578,
37,8,"haslev, denmark",danish2,,female,1303,usa,FALSE,english,578,
53,12,"copenhagen, denmark",danish3,,male,1307,usa,FALSE,english,578,
21,11,"aarhus, denmark",danish4,,male,1308,usa,FALSE,english,578,
49,8,"egvad, denmark",danish5,,male,1310,uk,FALSE,english,578,
19,8,"alborg, denmark",danish6,,male,1312,usa,FALSE,english,578,
22,8,"copenhagen, denmark",danish7,,male,1315,usa,FALSE,english,578,
28,11,"sunds, denmark",danish8,,female,1319,usa,FALSE,english,578,
25,13,"kabul, zoroastrian, afghanistan",dari1,,female,1320,usa,FALSE,english,578,
55,12,"kabul, afghanistan",dari2,,male,1321,usa,FALSE,english,578,
20,12,"kabul, afghanistan",dari3,,male,97,uk,FALSE,english,578,
59,13,"kabul, afghanistan",dari4,,female,1323,usa,FALSE,english,578,
56,32,"kabul, afghanistan",dari5,,male,1324,usa,FALSE,english,578,
39,33,"rumbek, boherat, sudan",dinka1,,male,1325,usa,FALSE,english,578,
38,13,"nijmegen, netherlands",dutch1,,female,1326,usa,FALSE,english,578,
39,12,"essen, belgium",dutch10,,male,1327,usa,FALSE,english,578,
41,14,"brugge, belgium",dutch11,,female,1328,usa,FALSE,english,578,
36,10,"oosterbeek, netherlands",dutch12,,female,1330,usa,FALSE,english,578,
33,10,"zwolle, netherlands",dutch13,,female,1331,usa,FALSE,english,578,
35,12,"zwolle, netherlands",dutch14,,female,1332,usa,FALSE,english,578,
23,10,"nunspeet, netherlands",dutch15,,female,1333,usa,FALSE,english,578,
23,12,"antwerp, belgium",dutch16,,female,98,usa,FALSE,english,578,
21,12,"wilrijk, belgium",dutch17,,male,1334,usa,FALSE,english,578,
23,14,"antwerp, belgium",dutch18,,female,1335,usa,FALSE,english,578,
22,11,"heist-op-den-berg, belgium",dutch19,,male,1336,usa,FALSE,english,578,
41,14,"amsterdam, netherlands",dutch2,,female,1337,usa,FALSE,english,578,
21,13,"vlaams-brabant, belgium",dutch20,,female,1339,usa,FALSE,english,578,
21,13,"diest, belgium",dutch21,,male,1340,usa,FALSE,english,578,
23,13,"essen, belgium",dutch22,,female,1341,usa,FALSE,english,578,
23,13,"antwerp, belgium",dutch23,,female,1342,usa,FALSE,english,578,
23,14,"seoul, south korea",dutch24,,female,1343,usa,FALSE,english,578,
23,13,"wilrijk, belgium",dutch25,,female,1345,usa,FALSE,english,578,
23,13,"turnhout, belgium",dutch26,,female,99,jamaica,FALSE,english,578,
21,13,"antwerp, belgium",dutch27,,male,100,uk,FALSE,english,578,
22,8,"antwerp, belgium",dutch28,,female,1348,uk,FALSE,english,578,
29,7,"ede, netherlands",dutch29,,male,1349,switzerland,FALSE,english,578,
19,6,"alkmaar, netherlands",dutch3,,female,1350,australia,FALSE,english,578,
21,14,"sint-niklaas, belgium",dutch30,,female,1351,australia,FALSE,english,578,
23,13,"antwerp, belgium",dutch31,,male,1352,australia,FALSE,english,578,
21,14,"brasschaat, belgium",dutch32,,female,1353,australia,FALSE,english,578,
22,9,"mechelen, belgium",dutch33,,female,1358,usa,FALSE,english,578,
22,14,"bornem, belgium",dutch34,,male,1360,canada,FALSE,english,578,
21,13,"mortsel, belgium",dutch35,,male,1361,usa,FALSE,english,578,
21,12,"turnhout, belgium",dutch36,,female,1362,australia,FALSE,english,578,
21,11,"antwerp, belgium",dutch37,,male,101,new zealand,FALSE,english,578,
21,12,"beveren, belgium",dutch38,,male,1363,new zealand,FALSE,english,578,
22,10,"hardinxveld-giessendam, netherlands",dutch39,,female,1371,usa,FALSE,english,578,
18,10,"bilzen, flanders, belgium",dutch4,,female,1372,usa,FALSE,english,578,
25,9,"dordrecht, netherlands",dutch40,,female,1373,uk,FALSE,english,578,
41,13,"deventer, netherlands",dutch41,,female,1374,usa,FALSE,english,578,
36,8,"schiedam, netherlands",dutch42,,male,1375,usa,FALSE,english,578,
21,11,"rotterdam, netherlands",dutch43,,male,1377,australia,FALSE,english,578,
21,12,"antwerp, belgium",dutch44,,female,1380,uk,FALSE,english,578,
22,2,"sint niklaas, belgium",dutch45,,male,1384,virginia,FALSE,english,578,
22,12,"hulshout, belgium",dutch46,,male,1385,usa,FALSE,english,578,
37,11,"gouda, netherlands",dutch47,,male,102,south africa,FALSE,english,578,
54,13,"rotterdam, netherlands",dutch5,,male,1387,new zealand,FALSE,english,578,
